228.7063	223.2215
316.9809	160.9817
229.5031	159.9356
689.1882	128.4433
601.3666	130.3047
693.0925	190.1548
604.4692	192.6061
1083.9255	227.9858
995.8794	227.4289
1084.6567	164.9307
996.6244	164.4894

316.2894	231.1644
228.5857	230.8522
316.6601	168.5377
229.1719	167.5895
689.8532	121.6727
601.7243	123.4472
693.2734	183.3935
604.6343	185.6992
1083.8194	234.3279
995.7637	233.8331
1084.3527	171.2248
996.3347	170.9300

320.3024	231.7968
232.5634	231.2653
320.8584	169.1429
233.5420	167.9987
692.3760	119.9124
604.4709	121.9089
696.1809	181.6777
607.6539	184.2472
1087.8135	236.8993
999.7168	236.2308
1088.6863	173.8163
1000.6125	173.3174

322.8407	233.1210
235.1966	232.8213
323.1361	170.4896
235.7687	169.5632
696.3338	119.5899
608.4973	121.4191
699.8245	181.3527
611.3392	183.6683
1090.4287	236.1882
1002.3935	235.7225
1090.9735	173.0816
1002.9118	172.8001

311.6257	228.5120
224.0208	227.6724
312.6912	165.8656
225.2870	164.4350
682.2597	122.4196
594.2756	124.6293
686.2110	184.0186
597.8861	186.8629
1079.1025	235.9714
991.0735	234.9808
1080.3673	172.9285
992.2984	172.0682

317.5010	220.4380
229.7769	219.9850
317.9435	157.7858
230.6705	156.7316
690.5722	131.6128
602.7612	133.4694
694.2501	193.3290
605.6718	195.7769
1085.0921	224.7982
996.9667	224.1994
1085.7629	161.6864
997.7491	161.2491

317.4857	220.4513
229.7568	220.0001
317.9205	157.8040
230.6500	156.7490
690.5630	131.5729
602.7327	133.4370
694.2253	193.2832
605.6553	195.7358
1085.0606	224.8142
996.9366	224.2202
1085.7275	161.7098
997.7169	161.2704

317.5020	220.4428
229.7722	219.9916
317.9407	157.7956
230.6671	156.7391
690.5851	131.5649
602.7681	133.4193
694.2545	193.2752
605.6698	195.7307
1085.0937	224.8021
996.9641	224.2037
1085.7547	161.6970
997.7405	161.2495

317.5509	220.4459
229.8194	219.9972
317.9891	157.7939
230.7204	156.7390
690.6295	131.5591
602.8521	133.4044
694.2901	193.2679
605.7389	195.7265
1085.1355	224.7951
997.0028	224.1981
1085.7968	161.6870
997.7951	161.2375

317.5525	220.4569
229.8270	220.0006
318.0035	157.8113
230.7240	156.7542
690.6118	131.5743
602.8182	133.4312
694.2860	193.2918
605.7210	195.7422
1085.1046	224.8229
996.9798	224.2269
1085.7691	161.7229
997.7571	161.2705

317.4796	220.4679
229.7609	220.0103
317.9228	157.8198
230.6403	156.7634
690.5579	131.5917
602.7397	133.4418
694.2203	193.2961
605.6436	195.7482
1085.0706	224.8197
996.9371	224.2296
1085.7351	161.7198
997.7223	161.2735

317.4593	220.4750
229.7336	220.0126
317.8957	157.8327
230.6157	156.7710
690.5623	131.5818
602.7284	133.4521
694.2154	193.2943
605.6436	195.7528
1085.0859	224.8197
996.9537	224.2272
1085.7472	161.7208
997.7353	161.2744

317.4832	220.4546
229.7604	220.0032
317.9122	157.8026
230.6514	156.7498
690.5215	131.5711
602.6760	133.4362
694.1887	193.2844
605.6124	195.7368
1084.9932	224.8141
996.8769	224.2183
1085.6749	161.7120
997.6548	161.2678

317.4903	220.4663
229.7732	220.0055
317.9221	157.8198
230.6546	156.7629
690.5518	131.5869
602.7182	133.4543
694.2054	193.2994
605.6386	195.7474
1085.0279	224.8185
996.9103	224.2242
1085.7027	161.7198
997.6843	161.2760

317.5053	220.4779
229.7938	220.0177
317.9346	157.8323
230.6682	156.7786
690.5431	131.5967
602.7206	133.4558
694.2079	193.2992
605.6428	195.7573
1085.0339	224.8213
996.9044	224.2325
1085.7031	161.7248
997.6853	161.2763

317.5484	220.4299
229.8238	219.9840
317.9890	157.7843
230.7224	156.7241
690.6153	131.5755
602.8433	133.4236
694.2888	193.2811
605.7368	195.7313
1085.1228	224.7953
996.9997	224.1981
1085.7868	161.6866
997.7803	161.2401

317.5566	220.4192
229.8282	219.9700
318.0019	157.7697
230.7220	156.7133
690.6262	131.5643
602.8451	133.4148
694.3063	193.2748
605.7362	195.7262
1085.1416	224.7839
997.0038	224.1747
1085.8051	161.6713
997.7955	161.2230

317.5336	220.4700
229.8214	220.0125
317.9720	157.8259
230.6997	156.7672
690.6019	131.6068
602.8119	133.4655
694.2846	193.3208
605.7094	195.7693
1085.1168	224.8130
996.9884	224.2170
1085.7802	161.7117
997.7727	161.2691

317.5316	220.4433
229.8010	219.9880
317.9604	157.7965
230.6935	156.7374
690.5883	131.5826
602.7968	133.4431
694.2501	193.2936
605.6886	195.7477
1085.0834	224.8020
996.9531	224.2062
1085.7394	161.7005
997.7377	161.2601

317.5152	220.4632
229.7992	220.0030
317.9490	157.8125
230.6814	156.7606
690.5690	131.6128
602.7633	133.4666
694.2334	193.3233
605.6718	195.7755
1085.0573	224.8284
996.9306	224.2376
1085.7207	161.7317
997.7111	161.2900

317.4471	220.4653
229.7270	220.0050
317.8794	157.8160
230.6072	156.7619
690.5212	131.5989
602.6596	133.4733
694.1894	193.3162
605.5779	195.7707
1085.0488	224.8121
996.9176	224.2200
1085.7160	161.7084
997.6969	161.2687

317.4714	220.4688
229.7491	220.0114
317.9055	157.8264
230.6344	156.7627
690.5308	131.6347
602.6780	133.4929
694.1978	193.3445
605.6122	195.7887
1085.0153	224.8490
996.8918	224.2615
1085.6954	161.7505
997.6781	161.3098

317.5107	220.4357
229.7802	219.9840
317.9414	157.7852
230.6753	156.7325
690.5555	131.5694
602.7353	133.4366
694.2140	193.2820
605.6479	195.7415
1085.0030	224.7983
996.9041	224.1950
1085.6856	161.6895
997.6782	161.2473

317.4559	220.4514
229.7208	219.9974
317.8932	157.8030
230.6140	156.7470
690.5318	131.5849
602.6852	133.4531
694.1908	193.2978
605.5990	195.7561
1085.0315	224.8037
996.9069	224.2090
1085.7022	161.7027
997.6867	161.2615

317.4761	220.4588
229.7568	220.0041
317.9131	157.8203
230.6460	156.7518
690.5093	131.6163
602.6766	133.4814
694.1748	193.3238
605.5949	195.7788
1084.9808	224.8308
996.8756	224.2351
1085.6683	161.7282
997.6490	161.2863

317.4374	220.4636
229.7066	220.0039
317.8716	157.8249
230.5885	156.7667
690.5392	131.6047
602.6937	133.4674
694.2083	193.3160
605.6207	195.7673
1085.0747	224.8115
996.9466	224.2178
1085.7387	161.7063
997.7201	161.2740

317.4709	220.4556
229.7385	220.0032
317.9098	157.8045
230.6273	156.7544
690.5615	131.5905
602.7239	133.4588
694.2304	193.3081
605.6522	195.7641
1085.0824	224.8101
996.9556	224.2128
1085.7436	161.7067
997.7285	161.2669

317.4604	220.4890
229.7447	220.0199
317.8912	157.8402
230.6100	156.7821
690.5417	131.6213
602.7026	133.4903
694.2048	193.3316
605.6125	195.7871
1085.0621	224.8228
996.9230	224.2375
1085.7248	161.7227
997.7012	161.2792

317.4571	220.4865
229.7547	220.0267
317.9011	157.8394
230.6155	156.7854
690.5283	131.6348
602.6787	133.4998
694.2028	193.3463
605.6098	195.7951
1085.0327	224.8307
996.9108	224.2453
1085.7135	161.7294
997.6888	161.2936

317.4629	220.4761
229.7497	220.0106
317.8986	157.8361
230.6238	156.7709
690.5283	131.6254
602.6832	133.4894
694.1886	193.3405
605.5904	195.7835
1085.0185	224.8336
996.9044	224.2429
1085.6975	161.7344
997.6731	161.2927

317.4760	220.4478
229.7436	219.9941
317.9241	157.8029
230.6365	156.7445
690.5660	131.5919
602.7390	133.4447
694.2286	193.3005
605.6534	195.7507
1085.0839	224.7940
996.9548	224.1942
1085.7513	161.6917
997.7335	161.2503

317.4798	220.4477
229.7437	219.9993
317.9209	157.8033
230.6370	156.7455
690.5706	131.5835
602.7576	133.4470
694.2329	193.2930
605.6541	195.7525
1085.0765	224.7941
996.9525	224.1951
1085.7394	161.6877
997.7297	161.2482

317.4629	220.4283
229.7364	219.9716
317.9023	157.7839
230.6312	156.7250
690.5041	131.5843
602.6560	133.4435
694.1724	193.2875
605.5840	195.7476
1084.9755	224.8113
996.8727	224.2080
1085.6628	161.7041
997.6490	161.2564

317.4614	220.4540
229.7297	220.0018
317.8929	157.8052
230.6199	156.7518
690.5277	131.5993
602.6842	133.4690
694.1868	193.3120
605.6062	195.7644
1085.0459	224.8119
996.9144	224.2176
1085.7107	161.7107
997.6968	161.2641

317.5495	220.4481
229.8220	219.9981
317.9895	157.8006
230.7173	156.7438
690.5908	131.5940
602.8077	133.4473
694.2666	193.3040
605.7055	195.7557
1085.0720	224.8098
996.9484	224.2128
1085.7321	161.7038
997.7342	161.2575

317.5654	220.4154
229.8378	219.9664
318.0208	157.7649
230.7403	156.7083
690.6290	131.5640
602.8608	133.4027
694.3099	193.2736
605.7549	195.7248
1085.1269	224.7806
997.0012	224.1737
1085.7860	161.6731
997.7913	161.2244

317.5579	220.4178
229.8323	219.9693
318.0035	157.7704
230.7301	156.7141
690.6224	131.5632
602.8579	133.4170
694.2972	193.2774
605.7333	195.7272
1085.1294	224.7830
996.9997	224.1727
1085.7915	161.6753
997.7890	161.2252

317.5532	220.4367
229.8195	219.9881
318.0063	157.7851
230.7206	156.7316
690.6171	131.5821
602.8447	133.4358
694.2851	193.2906
605.7341	195.7487
1085.1329	224.7956
997.0011	224.1943
1085.7945	161.6853
997.7892	161.2395

317.4981	220.4436
229.7686	219.9893
317.9327	157.7968
230.6624	156.7378
690.5363	131.6148
602.7353	133.4772
694.2129	193.3262
605.6456	195.7752
1084.9899	224.8447
996.8871	224.2564
1085.6758	161.7525
997.6581	161.3014

317.4865	220.4648
229.7640	220.0056
317.9206	157.8206
230.6501	156.7559
690.5100	131.6269
602.6792	133.4980
694.1841	193.3410
605.6037	195.7845
1084.9602	224.8376
996.8536	224.2483
1085.6572	161.7374
997.6340	161.2961

317.5000	220.4655
229.7727	220.0094
317.9312	157.8210
230.6587	156.7601
690.5539	131.6158
