Test Date Time,22--10--19--09:47:43
Frame Grabbed,1005
FPS,999.916673610532
LED Left,2.69,LED Right,2.69
Time To Test,0.000

Frame No.,X(um),Y(um),Z(um),TX(min),TY(min),TZ(min),,N1 X,N1 Y,N2 X,N2 Y,W1 X,W1 Y, W2 X, W2 Y,S1 X,S1 Y,S2 X,S2 Y,E1 X,E1 Y,E2 X,E2 Y,tN1 X,tN1 Y,tN2 X,tN2 Y,tS1 X,tS1 Y,tS2 X,tS2 Y
61,-0.04,-0.09,0.08,0.05,-0.09,0.00,,587.4548,54.6828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3582,51.7808,0.0000,0.0000,421.3720,221.5082,0.0000,0.0000,590.1451,282.6763,0.0000,0.0000,260.6573,277.1087,0.0000,0.0000,
62,-0.02,0.04,0.15,-0.03,0.01,-0.06,,587.4564,54.6884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3542,51.7759,0.0000,0.0000,421.3620,221.5128,0.0000,0.0000,590.1463,282.6871,0.0000,0.0000,260.6572,277.1141,0.0000,0.0000,
63,-0.11,-0.02,0.15,0.07,0.08,-0.07,,587.4584,54.6906,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3546,51.7722,0.0000,0.0000,421.3728,221.5068,0.0000,0.0000,590.1539,282.6837,0.0000,0.0000,260.6618,277.1098,0.0000,0.0000,
64,-0.08,0.16,0.22,0.28,0.04,-0.01,,587.4620,54.6968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3654,51.7844,0.0000,0.0000,421.3737,221.5033,0.0000,0.0000,590.1501,282.6927,0.0000,0.0000,260.6584,277.1240,0.0000,0.0000,
65,-0.12,0.02,0.25,0.08,0.13,0.07,,587.4690,54.6859,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3521,51.7720,0.0000,0.0000,421.3730,221.5033,0.0000,0.0000,590.1504,282.6803,0.0000,0.0000,260.6592,277.1191,0.0000,0.0000,
66,-0.16,0.01,0.13,0.04,-0.04,-0.08,,587.4646,54.6885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3551,51.7779,0.0000,0.0000,421.3596,221.5099,0.0000,0.0000,590.1566,282.6864,0.0000,0.0000,260.6658,277.1110,0.0000,0.0000,
67,0.03,-0.01,0.23,0.32,0.10,-0.06,,587.4588,54.6939,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3584,51.7743,0.0000,0.0000,421.3568,221.4948,0.0000,0.0000,590.1421,282.6844,0.0000,0.0000,260.6557,277.1113,0.0000,0.0000,
68,0.06,0.01,0.14,0.01,0.08,-0.04,,587.4643,54.6904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3628,51.7738,0.0000,0.0000,421.3617,221.5106,0.0000,0.0000,590.1401,282.6845,0.0000,0.0000,260.6524,277.1133,0.0000,0.0000,
69,-0.07,-0.02,0.18,0.34,0.23,0.18,,587.4505,54.6937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3567,51.7793,0.0000,0.0000,421.3725,221.4960,0.0000,0.0000,590.1452,282.6720,0.0000,0.0000,260.6510,277.1219,0.0000,0.0000,
70,-0.03,0.09,0.12,0.24,0.21,0.10,,587.4684,54.7005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3573,51.7827,0.0000,0.0000,421.3562,221.5068,0.0000,0.0000,590.1410,282.6827,0.0000,0.0000,260.6547,277.1251,0.0000,0.0000,
71,-0.12,-0.03,0.02,0.06,0.13,-0.04,,587.4609,54.6980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3579,51.7773,0.0000,0.0000,421.3656,221.5133,0.0000,0.0000,590.1509,282.6822,0.0000,0.0000,260.6640,277.1109,0.0000,0.0000,
72,-0.15,0.05,0.12,0.24,0.12,0.10,,587.4697,54.6958,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,259.3591,51.7844,0.0000,0.0000,421.3637,221.5057,0.0000,0.0000,590.1544,282.6805,0.0000,0.0000,260.6569,277.1226,0.0000,0.0000,
